2024-10-07 17:09:25 startup packages configure
2024-10-07 17:09:25 configure gcc-14-base:arm64 14.2.0-4ubuntu2 <none>
2024-10-07 17:09:25 status unpacked gcc-14-base:arm64 14.2.0-4ubuntu2
2024-10-07 17:09:25 status half-configured gcc-14-base:arm64 14.2.0-4ubuntu2
2024-10-07 17:09:25 status installed gcc-14-base:arm64 14.2.0-4ubuntu2
2024-10-07 17:09:25 configure libaudit-common:all 1:4.0.1-1ubuntu2 <none>
2024-10-07 17:09:25 status unpacked libaudit-common:all 1:4.0.1-1ubuntu2
2024-10-07 17:09:25 status half-configured libaudit-common:all 1:4.0.1-1ubuntu2
2024-10-07 17:09:25 status installed libaudit-common:all 1:4.0.1-1ubuntu2
2024-10-07 17:09:25 configure libsemanage-common:all 3.5-1build6 <none>
2024-10-07 17:09:25 status unpacked libsemanage-common:all 3.5-1build6
2024-10-07 17:09:25 status half-configured libsemanage-common:all 3.5-1build6
2024-10-07 17:09:25 status installed libsemanage-common:all 3.5-1build6
2024-10-07 17:09:25 configure debconf:all 1.5.86ubuntu1 <none>
2024-10-07 17:09:25 status unpacked debconf:all 1.5.86ubuntu1
2024-10-07 17:09:25 status half-configured debconf:all 1.5.86ubuntu1
2024-10-07 17:09:25 status installed debconf:all 1.5.86ubuntu1
2024-10-07 17:09:25 configure ncurses-base:all 6.5-2 <none>
2024-10-07 17:09:25 status unpacked ncurses-base:all 6.5-2
2024-10-07 17:09:25 status half-configured ncurses-base:all 6.5-2
2024-10-07 17:09:25 status installed ncurses-base:all 6.5-2
2024-10-07 17:09:25 configure init-system-helpers:all 1.66ubuntu1 <none>
2024-10-07 17:09:25 status unpacked init-system-helpers:all 1.66ubuntu1
2024-10-07 17:09:25 status half-configured init-system-helpers:all 1.66ubuntu1
2024-10-07 17:09:25 status installed init-system-helpers:all 1.66ubuntu1
2024-10-07 17:09:25 configure sensible-utils:all 0.0.24 <none>
2024-10-07 17:09:25 status unpacked sensible-utils:all 0.0.24
2024-10-07 17:09:25 status half-configured sensible-utils:all 0.0.24
2024-10-07 17:09:25 status installed sensible-utils:all 0.0.24
2024-10-07 17:09:25 configure libgcc-s1:arm64 14.2.0-4ubuntu2 <none>
2024-10-07 17:09:25 status unpacked libgcc-s1:arm64 14.2.0-4ubuntu2
2024-10-07 17:09:25 status half-configured libgcc-s1:arm64 14.2.0-4ubuntu2
2024-10-07 17:09:25 status installed libgcc-s1:arm64 14.2.0-4ubuntu2
